src,dst,id,edge_weight,edge_importance
42,38,0,0.12882069,2
42,17,0,0.11123401,2
42,5,0,0.111824885,2
42,25,0,0.12966534,2
42,6,0,0.12591831,2
42,18,0,0.1235825,2
42,40,0,0.12793091,2
42,28,0,0.11243367,2
42,32,0,0.1309448,2
42,49,0,0.119882405,2
42,57,0,0.13876401,2
42,50,0,0.12386129,2
42,3,0,0.114320576,2
42,13,0,0.14024803,2
42,20,0,0.11853577,2
42,44,0,0.11813872,2
42,26,0,0.13659854,2
42,47,0,0.10996996,2
11,35,0,0.112641126,1
11,1,0,0.11189727,1
43,2,0,0.11918142,1
43,39,0,0.116948456,1
43,34,0,0.1420006,1
43,36,0,0.13397743,1
43,9,0,0.13121285,1
43,7,0,0.14123856,1
43,31,0,0.14043796,0
43,22,0,0.13397066,1
43,29,0,0.13052137,1
43,12,0,0.12029485,1
43,54,0,0.13310024,1
43,23,0,0.14176375,1
43,33,0,0.10261197,1
43,21,0,0.1263129,1
43,51,0,0.13617107,1
43,53,0,0.13275631,1
43,0,0,0.8623064,1
43,56,0,0.13164088,1
43,19,0,0.13223827,1
43,24,0,0.12282769,1
43,14,0,0.13551402,1
43,8,0,0.15292104,1
43,4,0,0.121483944,1
43,30,0,0.09919013,0
43,27,0,0.12596008,1
43,41,0,0.12060513,1
43,58,0,0.12582536,1
43,15,0,0.14462523,1
43,46,0,0.120816745,1
43,10,0,0.11773408,1
43,16,0,0.12946647,1
43,48,0,0.10731773,1
43,37,0,0.12207171,1
43,55,0,0.15099989,1
43,38,0,0.11030049,1
43,17,0,0.12784512,1
43,5,0,0.12967856,1
43,25,0,0.14264867,1
43,6,0,0.11667541,1
43,18,0,0.09563084,1
43,40,0,0.11639823,1
43,28,0,0.12169991,1
43,32,0,0.11234749,1
43,49,0,0.124909945,1
43,57,0,0.12981041,1
43,50,0,0.110283345,1
43,3,0,0.10529383,1
43,13,0,0.118640035,1
43,20,0,0.1553849,1
43,44,0,0.12007759,1
43,26,0,0.13030124,1
43,47,0,0.108858235,1
43,35,0,0.11864226,0
43,1,0,0.11197384,0
52,2,0,0.11473641,2
52,39,0,0.13395073,2
52,34,0,0.10308082,2
52,36,0,0.1344615,2
52,9,0,0.15453015,2
52,7,0,0.114343725,2
52,31,0,0.14602374,1
52,22,0,0.12131821,2
52,29,0,0.12816028,2
52,12,0,0.12368066,2
52,54,0,0.1295326,2
52,23,0,0.134404,2
52,33,0,0.12075024,2
52,21,0,0.12930682,2
52,51,0,0.1179566,2
52,53,0,0.1106342,2
52,0,0,0.84373164,2
52,56,0,0.12141179,2
52,19,0,0.1481095,2
52,24,0,0.10966131,2
52,14,0,0.14025752,2
52,8,0,0.12212107,2
52,4,0,0.106956676,2
52,30,0,0.11640402,1
52,27,0,0.13184695,2
52,41,0,0.12892036,2
52,58,0,0.13703783,2
52,15,0,0.1398914,2
52,46,0,0.13476954,2
52,10,0,0.105239294,2
52,16,0,0.11404232,2
52,48,0,0.1147064,2
52,37,0,0.13793764,2
52,55,0,0.12304827,2
52,38,0,0.12850106,2
