,src,dst,id,importance,weight,weight_positive,weight_negative,edge_weight
25,41,42,0,2.0,0.13802357,0.12230851,0.13802357,0.009957399245724176
26,58,42,0,2.0,0.13302335,0.124548756,0.13302335,0.0
27,15,42,0,2.0,0.1392388,0.1392388,0.1249756,0.009957399245725052
28,46,42,0,2.0,0.13814633,0.11701622,0.13814633,0.0
29,10,42,0,2.0,0.13020001,0.13020001,0.1195142,0.009957399245725527
30,16,42,0,2.0,0.1409375,0.120133474,0.1409375,0.009957399245724741
31,48,42,0,2.0,0.11894216,0.10572974,0.11894216,0.0
32,37,42,0,2.0,0.12448819,0.1029012,0.12448819,0.009957399245724904
33,55,42,0,2.0,0.13581197,0.11522909,0.13581197,0.0
34,38,42,0,2.0,0.12882069,0.11183077,0.12882069,0.00995739924572738
35,17,42,0,2.0,0.13607623,0.13607623,0.11123401,0.009957399245723982
36,5,42,0,2.0,0.12816246,0.12816246,0.111824885,0.009957399245724311
37,25,42,0,2.0,0.12966534,0.1281603,0.12966534,0.00995739924572459
38,6,42,0,2.0,0.12591831,0.11961830400000001,0.12591831,0.009957399245725317
39,18,42,0,2.0,0.1235825,0.10427432,0.1235825,0.00995739924572905
40,40,42,0,2.0,0.12831187,0.12831187,0.12793091,0.009957399245724587
41,28,42,0,2.0,0.12024636,0.12024636,0.11243367,0.00995739924572454
42,32,42,0,2.0,0.1309448,0.11576027400000001,0.1309448,0.009957399245723654
43,49,42,0,2.0,0.13549092,0.13549092,0.119882405,0.0
44,57,42,0,2.0,0.13876401,0.109519035,0.13876401,0.0
45,50,42,0,2.0,0.12386129,0.119693585,0.12386129,0.0
46,3,42,0,2.0,0.12972088,0.12972088,0.114320576,0.009957399245724363
47,13,42,0,2.0,0.14150582,0.14150582,0.14024803,0.009957399245727009
48,20,42,0,2.0,0.11853577,0.11475983,0.11853577,0.009957399245729213
49,44,42,0,2.0,0.11813872,0.10498756,0.11813872,0.0
50,26,42,0,2.0,0.13659854,0.12911877,0.13659854,0.009957399245723053
51,47,42,0,2.0,0.121216,0.121216,0.10996996,0.0
52,2,43,0,2.0,0.13438597,0.13438597,0.11918142,0.010024216544999192
53,39,43,0,2.0,0.13713764,0.13713764,0.11694845599999999,0.010024216545001593
54,34,43,0,2.0,0.14859888,0.14859888,0.1420006,0.010024216545003345
55,36,43,0,2.0,0.13397743,0.10276997,0.13397743,0.010024216544998802
56,9,43,0,2.0,0.13121285,0.12077658,0.13121285,0.010024216545007967
57,7,43,0,2.0,0.14123856,0.124737665,0.14123856,0.010024216544999784
58,31,43,0,1.0,0.14043796,0.1326058,0.14043796,0.010024216545001756
59,22,43,0,2.0,0.13397066,0.110536605,0.13397066,0.010024216545001434
60,29,43,0,2.0,0.13470669,0.13470669,0.13052137,0.010024216545002216
61,12,43,0,2.0,0.12357682,0.12357682,0.12029485,0.010024216545017626
62,54,43,0,2.0,0.13377473,0.13377473,0.13310024,0.0
63,23,43,0,2.0,0.14176375,0.10911929,0.14176375,0.010024216545007352
64,33,43,0,2.0,0.15550227,0.15550227,0.10261197,0.010024216545004726
65,21,43,0,2.0,0.12631289999999998,0.11716184,0.12631289999999998,0.010024216545002162
66,51,43,0,2.0,0.13617107,0.12529625,0.13617107,0.0
67,53,43,0,2.0,0.13275631,0.11138952,0.13275631,0.0
68,0,43,0,2.0,0.8623064,0.12802336,0.8623064,0.010024216544999834
69,56,43,0,2.0,0.16197607,0.16197607,0.13164088,0.0
70,19,43,0,2.0,0.13223827,0.104529,0.13223827,0.01002421654500236
71,24,43,0,2.0,0.12282769,0.11386903400000001,0.12282769,0.010024216545002514
72,14,43,0,2.0,0.13551402,0.10839662,0.13551402,0.010024216544999234
73,8,43,0,2.0,0.15292104,0.12686327,0.15292104,0.010024216545002814
74,4,43,0,2.0,0.12148394400000001,0.09594915,0.12148394400000001,0.01002421654499952
75,30,43,0,1.0,0.116273135,0.116273135,0.09919013,0.0100242165450016
76,27,43,0,2.0,0.12596008,0.11431709,0.12596008,0.010024216545006053
77,41,43,0,2.0,0.13392876,0.13392876,0.12060513,0.010024216545007555
78,58,43,0,2.0,0.12582536,0.12381632,0.12582536,0.0
79,15,43,0,2.0,0.14462523,0.11551723,0.14462523,0.010024216545006081
80,46,43,0,2.0,0.120816745,0.116379224,0.120816745,0.0
81,10,43,0,2.0,0.11773408,0.101051584,0.11773408,0.01002421654501106
82,16,43,0,2.0,0.14657041,0.14657041,0.12946647,0.010024216544999055
83,48,43,0,2.0,0.112146325,0.112146325,0.10731773,0.0
84,37,43,0,2.0,0.12529884,0.12529884,0.12207171,0.01002421654500182
85,55,43,0,2.0,0.15099989,0.1169812,0.15099989,0.0
86,38,43,0,2.0,0.11030049,0.09906381,0.11030049,0.010024216544998996
87,17,43,0,2.0,0.12784512,0.12338219999999998,0.12784512,0.010024216545011129
88,5,43,0,2.0,0.12967856,0.12964736,0.12967856,0.010024216545003852
89,25,43,0,2.0,0.14264867,0.121324435,0.14264867,0.01002421654499958
