,src,dst,id,importance,explainer,edge_btw
237,9,8,1,2,0.13219173,0
322,21,27,1,2,0.13205567,0.012639487
321,11,27,1,1,0.13202913,0.012639487
221,25,8,1,1,0.13201502,0
246,19,8,1,1,0.1317965,0
332,29,6,1,1,0.13161083,0.011495696
253,23,34,1,1,0.1314432,0.02354336
223,40,8,1,1,0.131399,0
331,40,6,1,1,0.13093375,0.011495696
239,20,8,1,1,0.1309084,0
249,11,8,1,1,0.13020138,0
328,18,6,1,1,0.12963746,0.011495696
333,39,6,1,2,0.12942904,0.011495696
296,29,27,1,1,0.12911385,0.012639487
357,11,6,1,1,0.12860313,0.011495696
334,12,6,1,1,0.12835458,0.011495696
342,37,6,1,1,0.12832311,0.011495696
316,5,27,1,1,0.12819128,0.012639487
329,25,6,1,1,0.12814507,0.011495696
275,20,34,1,1,0.12805897,0.012639487
330,13,6,1,1,0.1280033,0.011495696
263,36,34,1,1,0.12763782,0.012639487
224,29,8,1,1,0.1270398,0
257,25,34,1,1,0.1268134,0.012639487
283,30,34,1,1,0.12670809,0.012639487
258,13,34,1,1,0.12630375,0.012639487
317,31,27,1,1,0.12593576,0.012639487
313,3,27,1,1,0.12574057,0.012639487
274,14,34,1,1,0.12571636,0.012639487
282,19,34,1,1,0.12523325,0.012639487
260,29,34,1,1,0.12502393,0.012639487
272,15,34,1,1,0.12428875,0.012639487
327,28,6,1,1,0.12424852,0.011495696
262,12,34,1,1,0.12419324,0.012639487
341,33,6,1,1,0.123512365,0.011495696
255,28,34,1,1,0.12347673,0.012639487
236,15,8,1,1,0.12269411,0
227,36,8,1,1,0.12252634,0
254,26,34,1,1,0.122365564,0.012639487
244,5,8,1,1,0.122074425,0
235,1,8,1,1,0.121903345,0
218,26,8,1,1,0.12183747,0
310,14,27,1,1,0.12156123,0.012639487
267,35,34,1,1,0.12112458,0.012639487
295,40,27,1,1,0.121043414,0.012639487
270,37,34,1,1,0.12068989,0.012639487
234,37,8,1,1,0.12042442,0
250,21,8,1,2,0.12028223,0
291,28,27,1,1,0.12017576,0.012639487
265,2,34,1,2,0.11978345,0.012639487
350,22,6,1,1,0.119707756,0.011495696
241,3,8,1,1,0.119686574,0
217,23,8,1,1,0.119551316,0
292,18,27,1,1,0.11950567,0.012639487
298,12,27,1,1,0.11893053,0.012639487
349,3,6,1,1,0.11872228,0.011495696
231,35,8,1,1,0.11853647,0
340,24,6,1,1,0.11817785,0.011495696
352,5,6,1,1,0.11808806,0.011495696
266,38,34,1,1,0.11796078,0.012639487
311,20,27,1,1,0.11780379,0.012639487
307,1,27,1,1,0.117608555,0.012639487
348,4,6,1,1,0.11749268,0.011495696
355,30,6,1,1,0.11738153,0.011495696
280,5,34,1,1,0.117278524,0.012639487
304,24,27,1,1,0.116974406,0.012639487
306,37,27,1,1,0.11684472,0.012639487
261,39,34,1,2,0.11682782,0.012639487
247,30,8,1,1,0.11648522,0
309,9,27,1,2,0.11635284,0.012639487
336,16,6,1,1,0.11588637,0.011495696
264,16,34,1,1,0.1156203,0.012639487
314,22,27,1,1,0.11551356,0.012639487
301,2,27,1,2,0.11526634,0.012639487
222,13,8,1,1,0.115184575,0
297,39,27,1,2,0.11517622,0.012639487
271,1,34,1,1,0.11513609,0.012639487
326,26,6,1,1,0.115096875,0.011495696
229,2,8,1,2,0.11503841,0
347,20,6,1,1,0.11484262,0.011495696
318,19,27,1,1,0.114485584,0.012639487
286,21,34,1,2,0.11413708,0.012639487
312,4,27,1,1,0.11400491,0.012639487
279,10,34,1,1,0.11398254,0.012639487
303,35,27,1,1,0.113748625,0.012639487
335,36,6,1,1,0.11361105,0.011495696
300,16,27,1,1,0.11355412,0.012639487
276,4,34,1,1,0.113190554,0.012639487
243,10,8,1,1,0.11294127,0
278,22,34,1,1,0.11217613,0.012639487
315,10,27,1,1,0.11183509,0.012639487
285,11,34,1,1,0.11120793,0.012639487
308,15,27,1,1,0.110175654,0.012639487
259,40,34,1,1,0.109367184,0.012639487
351,10,6,1,1,0.109063536,0.011495696
240,4,8,1,1,0.10863081,0
346,14,6,1,1,0.1085952,0.011495696
293,25,27,1,1,0.107757546,0.012639487
268,24,34,1,1,0.10757981,0.012639487
358,21,6,1,2,0.10726772,0.011495696
228,16,8,1,1,0.106023334,0
337,2,6,1,2,0.10580293,0.011495696
273,9,34,1,2,0.10489914,0.012639487
353,31,6,1,1,0.10474158,0.011495696
233,33,8,1,1,0.10256781,0
345,9,6,1,2,0.102064125,0.011495696
230,38,8,1,1,0.10163844,0
238,14,8,1,1,0.097216606,0
401,18,42,2,2,0.1339862,0.020030043
396,2,42,2,2,0.10674735,0.020030043
434,18,46,2,2,0.11715317,0.013925613
433,2,46,2,2,0.11517678,0.013925613
373,2,31,2,2,0.1164534,0
378,18,31,2,2,0.09440583,0
410,38,42,2,1.75,0.10182105,0.08516313
393,25,42,2,1.75,0.29457805,0.055681374
394,61,42,2,1.75,0.114571996,0.044972754
406,28,42,2,1.75,0.15058552,0.043782908
404,20,42,2,1.75,0.108832344,0.040411675
381,20,31,2,1.75,0.1026649,0.040411675
